rail,pos_x,pos_y,localisation,rail_work_order,mvt,designation,reference,id,work_order,work_order_unit,point,path,position_type,speed,cnt,x_j1,y_j2,z_j3,w_j4,p_j5,r_j6,e1,wrist,forearm,arm,conf_j1,conf_j4,conf_j6,UF,UT
1,FORWARD,RIGHT,AV_D,6,station,rail,E53233044200,1,63,3,1,JOINT,JOINT,50,0,0,19,-39,0,106,45,2192,,,,,,,3,2
1,FORWARD,RIGHT,AV_D,6,approach,rail,E53233044200,1,63,3,2,JOINT,JOINT,50,50,52,42,-39,-34,96,83,2192,,,,,,,3,2
1,FORWARD,RIGHT,AV_D,6,approach,rail,E53233044200,1,63,3,3,LINEAR,JOINT,2000,20,83,81,-65,-35,112,86,2192,,,,,,,3,2
1,FORWARD,RIGHT,AV_D,6,approach,rail,E53233044200,1,63,3,4,JOINT,JOINT,50,50,84,78,-53,-50,73,81,2192,,,,,,,3,2
1,FORWARD,RIGHT,AV_D,6,approach,rail,E53233044200,1,63,3,5,JOINT,JOINT,50,50,70,56,-49,55,9,-36,2192,,,,,,,3,2
1,FORWARD,RIGHT,AV_D,6,approach,rail,E53233044200,1,63,3,6,JOINT,JOINT,50,25,73,78,-42,66,-54,-67,2192,,,,,,,3,2
1,FORWARD,RIGHT,AV_D,6,approach,rail,E53233044200,1,63,3,7,LINEAR,JOINT,100,0,73,70,-55,76,-49,-87,2192,,,,,,,3,2
1,FORWARD,RIGHT,AV_D,6,work,fastener,ASNA2392-3-04,588,1,1,8,LINEAR,CRT,100,0,-121,2612,4,-180,0,90,2192,N,U,T,0,0,0,3,2
1,FORWARD,RIGHT,AV_D,6,work,fastener,ASNA2392-3-04,589,2,2,9,LINEAR,CRT,100,0,-98,2612,4,-180,0,90,2192,N,U,T,0,0,0,3,2
1,FORWARD,RIGHT,AV_D,6,work,fastener,ASNA2392-3-04,590,3,3,10,LINEAR,CRT,100,0,-74,2612,4,-180,0,90,2192,N,U,T,0,0,0,3,2
1,FORWARD,RIGHT,AV_D,6,work,fastener,ASNA2392-3-04,591,4,4,11,LINEAR,CRT,100,0,-50,2612,4,-180,0,90,2192,N,U,T,0,0,0,3,2
1,FORWARD,RIGHT,AV_D,6,work,fastener,ASNA2392-3-05,592,5,5,12,LINEAR,CRT,100,0,-26,2612,5,-180,0,90,2192,N,U,T,0,0,0,3,2
1,FORWARD,RIGHT,AV_D,6,work,fastener,ASNA2392-3-05,593,6,6,13,LINEAR,CRT,100,0,-3,2612,5,-180,0,112,2192,N,U,T,0,0,0,3,2
1,FORWARD,RIGHT,AV_D,6,work,fastener,ASNA2392-3-07,596,7,7,14,LINEAR,CRT,100,0,36,2612,5,-180,0,128,2192,N,U,T,0,0,0,3,2
1,FORWARD,RIGHT,AV_D,6,work,fastener,ASNA2392-3-07,597,8,8,15,LINEAR,CRT,100,0,58,2612,5,-180,0,137,2192,N,U,T,0,0,0,3,2
1,FORWARD,RIGHT,AV_D,6,clearance,rail,E53233044200,1,63,3,7,LINEAR,JOINT,100,25,73,70,-55,76,-49,-87,2192,,,,,,,3,2
1,FORWARD,RIGHT,AV_D,6,clearance,rail,E53233044200,1,63,3,6,LINEAR,JOINT,100,50,73,78,-42,66,-54,-67,2192,,,,,,,3,2
