rail,rail_work_order,mvt,designation,reference,id,work_order,point,path,position_type,speed,cnt,x_j1,y_j2,z_j3,w_j4,p_j5,r_j6,e1,wrist,forearm,arm,conf_j1,conf_j4,conf_j6,UF,UT
0,,home,home,,,0,0,JOINT,JOINT,75.00,0.00,0.00,18.51,-39.04,0.00,106.04,45.00,100.00,,,,,,,3,3
0,,tool,tool,,,0,0,JOINT,JOINT,75.00,0.00,0.00,18.51,-39.04,0.00,106.04,45.00,330.00,,,,,,,3,3
1,6,station,rail,E53233044200,1,6,1,JOINT,JOINT,50.00,0.00,0.00,18.51,-39.04,0.00,106.04,45.00,2000.00,,,,,,,3,1
1,6,approach,rail,E53233044200,1,6,2,JOINT,JOINT,50.00,50.00,15.93,22.77,-30.35,-1.52,100.00,60.22,2000.00,,,,,,,3,1
1,6,approach,rail,E53233044200,1,6,3,JOINT,JOINT,50.00,50.00,47.11,34.78,-19.83,-20.34,89.71,88.57,2000.00,,,,,,,3,1
1,6,approach,rail,E53233044200,1,6,7,JOINT,JOINT,50.00,50.00,47.11,34.78,-19.83,-20.34,89.71,-1.43,2000.00,,,,,,,3,1
1,6,approach,rail,E53233044200,1,6,4,JOINT,JOINT,50.00,50.00,47.11,34.78,-19.83,-20.34,89.71,-91.50,2000.00,,,,,,,3,1
1,6,approach,rail,E53233044200,1,6,5,JOINT,JOINT,50.00,5.00,67.30,55.37,-32.48,-64.41,80.23,-82.84,2000.00,,,,,,,3,1
1,6,approach,rail,E53233044200,1,6,6,LINEAR,JOINT,1000.00,5.00,63.38,56.29,-17.76,-93.42,61.44,-59.22,2000.00,,,,,,,3,1
1,6,work,fastener,ASNA2392-3-04,504,1,9,LINEAR,CRT,100.00,0.00,222.34,2589.70,8.00,90.00,-63.04,-180.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,503,2,10,LINEAR,CRT,100.00,0.00,214.00,2589.72,25.99,90.00,-60.00,-180.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,502,3,11,LINEAR,CRT,100.00,0.00,202.34,2589.72,8.00,90.00,-63.00,-180.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,501,4,12,LINEAR,CRT,100.00,0.00,190.34,2589.72,26.00,90.00,-70.00,-180.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,500,5,13,LINEAR,CRT,100.00,0.00,178.34,2589.72,8.00,90.00,-70.00,-180.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,499,6,14,LINEAR,CRT,100.00,0.00,166.34,2589.70,26.00,90.00,-75.00,-180.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,498,7,15,LINEAR,CRT,100.00,0.00,154.34,2589.72,8.00,90.00,-77.00,-180.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,497,8,16,LINEAR,CRT,100.00,0.00,142.34,2589.70,26.00,90.00,-80.00,180.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,496,9,17,LINEAR,CRT,100.00,0.00,128.34,2589.70,10.00,90.00,-82.00,180.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,495,10,18,LINEAR,CRT,100.00,0.00,114.34,2589.70,26.00,90.00,-84.00,180.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,494,11,19,LINEAR,CRT,100.00,0.00,100.34,2589.70,10.00,90.00,-85.02,180.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,493,12,20,LINEAR,CRT,100.00,0.00,86.34,2589.70,26.00,90.00,-86.00,180.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,EN6115V3-4,506,13,21,LINEAR,CRT,100.00,0.00,72.34,2589.70,10.00,-90.00,-85.00,0.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,EN6115V3-4,505,14,22,LINEAR,CRT,100.00,0.00,44.34,2589.70,10.00,-90.00,-81.18,0.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,492,15,23,LINEAR,CRT,100.00,0.00,30.34,2589.70,26.00,-90.00,-74.81,0.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,491,16,24,LINEAR,CRT,100.00,0.00,16.34,2589.70,10.00,-90.00,-70.97,0.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,490,17,25,LINEAR,CRT,100.00,0.00,2.34,2589.70,26.00,-90.00,-69.21,0.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,489,18,26,LINEAR,CRT,100.00,0.00,-11.66,2589.70,10.00,-90.00,-71.38,0.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,488,19,27,LINEAR,CRT,100.00,0.00,-25.66,2589.70,26.00,-90.00,-65.58,0.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,487,20,28,LINEAR,CRT,100.00,0.00,-39.66,2589.70,10.00,-90.00,-74.39,0.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,486,21,29,LINEAR,CRT,100.00,0.00,-53.66,2589.70,26.00,-90.00,-64.75,0.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,485,22,30,LINEAR,CRT,100.00,0.00,-65.66,2589.70,8.00,-90.00,-68.69,0.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,484,23,31,LINEAR,CRT,100.00,0.00,-77.66,2589.70,26.00,-90.00,-61.33,0.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,483,24,32,LINEAR,CRT,100.00,0.00,-89.66,2589.70,8.00,-90.00,-62.68,0.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,482,25,33,LINEAR,CRT,100.00,0.00,-101.66,2589.70,26.00,-90.00,-54.69,0.00,2000.00,F,U,T,0,0,0,3,1
1,6,work,fastener,ASNA2392-3-04,481,26,34,LINEAR,CRT,100.00,0.00,-113.66,2589.70,8.00,-90.00,-60.08,0.00,2000.00,F,U,T,0,0,0,3,1
1,6,clearance,rail,E53233044200,1,6,6,LINEAR,JOINT,100.00,5.00,63.38,56.29,-17.76,-93.42,61.44,-59.22,2000.00,,,,,,,3,1
1,6,clearance,rail,E53233044200,1,6,5,LINEAR,JOINT,1000.00,5.00,67.30,55.37,-32.48,-64.41,80.23,-82.84,2000.00,,,,,,,3,1
1,6,clearance,rail,E53233044200,1,6,4,JOINT,JOINT,50.00,50.00,47.11,34.78,-19.83,-20.34,89.71,-91.50,2000.00,,,,,,,3,1
1,6,clearance,rail,E53233044200,1,6,7,JOINT,JOINT,50.00,50.00,47.11,34.78,-19.83,-20.34,89.71,-1.43,2000.00,,,,,,,3,1
1,6,clearance,rail,E53233044200,1,6,3,JOINT,JOINT,50.00,50.00,47.11,34.78,-19.83,-20.34,89.71,88.57,2000.00,,,,,,,3,1
1,6,clearance,rail,E53233044200,1,6,2,JOINT,JOINT,50.00,50.00,15.93,22.77,-30.35,-1.52,100.00,60.22,2000.00,,,,,,,3,1
1,6,clearance,rail,E53233044200,1,6,1,JOINT,JOINT,50.00,0.00,0.00,18.51,-39.04,0.00,106.04,45.00,2000.00,,,,,,,3,1
2,5,station,rail,E53233046200,2,5,1,JOINT,JOINT,50.00,0.00,0.00,18.51,-39.04,0.00,106.04,45.00,1473.00,,,,,,,3,1
2,5,approach,rail,E53233046200,2,5,2,JOINT,JOINT,50.00,50.00,15.93,22.77,-30.35,-1.52,100.00,60.22,1473.00,,,,,,,3,1
2,5,approach,rail,E53233046200,2,5,3,JOINT,JOINT,50.00,50.00,47.11,34.78,-19.83,-20.34,89.71,88.57,1473.00,,,,,,,3,1
2,5,approach,rail,E53233046200,2,5,7,JOINT,JOINT,50.00,50.00,47.11,34.78,-19.83,-20.34,89.71,-1.43,1473.00,,,,,,,3,1
2,5,approach,rail,E53233046200,2,5,4,JOINT,JOINT,50.00,50.00,47.11,34.78,-19.83,-20.34,89.71,-91.50,1473.00,,,,,,,3,1
2,5,approach,rail,E53233046200,2,5,5,JOINT,JOINT,50.00,20.00,64.40,56.01,-23.93,-64.53,74.23,-72.31,1473.00,,,,,,,3,1
2,5,approach,rail,E53233046200,2,5,6,LINEAR,JOINT,1000.00,5.00,60.41,64.12,-5.45,-99.90,59.96,-41.04,1473.00,,,,,,,3,1
2,5,work,fastener,ASNA2392-3-04,530,1,9,LINEAR,CRT,100.00,0.00,222.34,2062.70,8.00,90.00,-63.04,-180.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,529,2,10,LINEAR,CRT,100.00,0.00,214.00,2062.72,25.99,90.00,-60.00,-180.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,528,3,11,LINEAR,CRT,100.00,0.00,202.34,2062.72,8.00,90.00,-63.00,-180.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,525,4,12,LINEAR,CRT,100.00,0.00,190.34,2062.72,26.00,90.00,-70.00,-180.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,526,5,13,LINEAR,CRT,100.00,0.00,178.34,2062.72,8.00,90.00,-70.00,-180.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,524,6,14,LINEAR,CRT,100.00,0.00,166.34,2062.70,26.00,90.00,-75.00,-180.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,527,7,15,LINEAR,CRT,100.00,0.00,154.34,2062.72,8.00,90.00,-77.00,-180.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,523,8,16,LINEAR,CRT,100.00,0.00,142.34,2062.70,26.00,90.00,-80.00,180.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,522,9,17,LINEAR,CRT,100.00,0.00,128.34,2062.70,10.00,90.00,-82.00,180.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,521,10,18,LINEAR,CRT,100.00,0.00,114.34,2062.70,26.00,90.00,-84.00,180.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,520,11,19,LINEAR,CRT,100.00,0.00,100.34,2062.70,10.00,90.00,-85.02,180.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,519,12,20,LINEAR,CRT,100.00,0.00,86.34,2062.70,26.00,90.00,-86.00,180.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,EN6115V3-4,532,13,21,LINEAR,CRT,100.00,0.00,72.34,2062.70,10.00,-90.00,-85.00,0.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,EN6115V3-4,531,14,22,LINEAR,CRT,100.00,0.00,44.34,2062.70,10.00,-90.00,-81.18,0.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,518,15,23,LINEAR,CRT,100.00,0.00,30.34,2062.70,26.00,-90.00,-74.81,0.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,517,16,24,LINEAR,CRT,100.00,0.00,16.34,2062.70,10.00,-90.00,-70.97,0.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,516,17,25,LINEAR,CRT,100.00,0.00,2.34,2062.70,26.00,-90.00,-69.21,0.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,515,18,26,LINEAR,CRT,100.00,0.00,-11.66,2062.70,10.00,-90.00,-71.38,0.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,514,19,27,LINEAR,CRT,100.00,0.00,-25.66,2062.70,26.00,-90.00,-65.58,0.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,513,20,28,LINEAR,CRT,100.00,0.00,-39.66,2062.70,10.00,-90.00,-74.39,0.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,512,21,29,LINEAR,CRT,100.00,0.00,-53.66,2062.70,26.00,-90.00,-64.75,0.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,511,22,30,LINEAR,CRT,100.00,0.00,-65.66,2062.70,8.00,-90.00,-68.69,0.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,509,23,31,LINEAR,CRT,100.00,0.00,-77.66,2062.70,26.00,-90.00,-61.33,0.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,510,24,32,LINEAR,CRT,100.00,0.00,-89.66,2062.70,8.00,-90.00,-62.68,0.00,1473.00,F,U,T,0,0,0,3,1
2,5,work,fastener,ASNA2392-3-04,508,25,33,LINEAR,CRT,100.00,0.00,-101.66,2062.70,26.00,-90.00,-54.69,0.00,1473.00,F,U,T,0,0,0,3,1
