rail,mvt,designation,reference,id,work_order,point,path,position_type,speed,cnt,x_j1,y_j2,z_j3,w_j4,p_j5,r_j6,e1,wrist,forearm,arm,conf_j1,conf_j4,conf_j6,UF,UT
0,home,home,,,0,0,JOINT,JOINT,75,0,0.00,18.51,-39.04,0.00,106.04,90.00,100.00,,,,,,,3,3
0,tool,tool,,,0,0,JOINT,JOINT,75,0,0.00,18.51,-39.04,0.00,106.04,90.00,330.00,,,,,,,3,3
1,station,rail,E53233044200,1,6,1,JOINT,JOINT,75,0,0.00,18.51,-39.04,0.00,106.04,90.00,2250.00,,,,,,,3,1
1,approach,rail,E53233044200,1,6,2,JOINT,JOINT,75,100,15.93,22.77,-30.35,-1.52,115.53,105.22,2250.00,,,,,,,3,1
1,approach,rail,E53233044200,1,6,3,JOINT,JOINT,75,100,30.79,40.03,-5.71,-88.94,115.58,-13.89,2250.00,,,,,,,3,1
1,approach,rail,E53233044200,1,6,4,JOINT,JOINT,75,100,31.68,29.92,13.35,-104.80,81.46,28.24,2250.00,,,,,,,3,1
1,approach,rail,E53233044200,1,6,5,JOINT,JOINT,75,50,43.81,46.30,17.95,-102.48,94.41,31.01,2250.00,,,,,,,3,1
1,approach,rail,E53233044200,1,6,6,LINEAR,JOINT,2000,50,59.29,47.44,-21.02,-88.51,106.25,-27.05,2250.00,,,,,,,3,1
1,approach,rail,E53233044200,1,6,7,LINEAR,JOINT,2000,100,58.39,48.78,-19.32,-104.45,99.87,-11.59,2250.00,,,,,,,3,1
1,approach,rail,E53233044200,1,6,8,LINEAR,JOINT,100,0,59.78,56.34,-13.84,-103.86,102.50,-6.50,2250.00,,,,,,,3,1
1,work,fastener,ASNA2392-3-04,504,1,9,LINEAR,CRT,100,0,226.34,2589.70,6.51,90.00,-80.84,180.00,2250.00,F,U,T,0,0,0,3,1
1,work,fastener,ASNA2392-3-04,503,2,10,LINEAR,CRT,100,0,214.18,2589.70,24.47,90.00,-80.00,-180.00,2250.00,F,U,T,0,0,0,3,1
1,work,fastener,ASNA2392-3-04,502,3,11,LINEAR,CRT,100,0,202.34,2589.70,6.51,90.00,-80.00,-180.00,2250.00,F,U,T,0,0,0,3,1
1,work,fastener,ASNA2392-3-04,501,4,12,LINEAR,CRT,100,0,190.34,2589.70,24.51,90.00,-80.00,-180.00,2250.00,F,U,T,0,0,0,3,1
1,work,fastener,ASNA2392-3-04,500,5,13,LINEAR,CRT,100,0,178.34,2589.70,6.51,90.00,-80.00,-180.00,2250.00,F,U,T,0,0,0,3,1
1,work,fastener,ASNA2392-3-04,499,6,14,LINEAR,CRT,100,0,166.34,2589.70,24.51,90.00,-83.91,-180.00,2250.00,F,U,T,0,0,0,3,1
1,work,fastener,ASNA2392-3-04,498,7,15,LINEAR,CRT,100,0,154.34,2589.70,6.51,90.00,-80.00,-180.00,2250.00,F,U,T,0,0,0,3,1
1,work,fastener,ASNA2392-3-04,497,8,16,LINEAR,CRT,100,0,142.34,2589.70,24.51,-90.00,-88.23,0.00,2250.00,F,U,T,0,0,0,3,1
1,work,fastener,ASNA2392-3-04,496,9,17,LINEAR,CRT,100,0,128.34,2589.70,8.51,-90.00,-87.92,0.00,2250.00,F,U,T,0,0,0,3,1
1,work,fastener,ASNA2392-3-04,495,10,18,LINEAR,CRT,100,0,114.34,2589.70,24.51,-90.00,-83.26,0.00,2250.00,F,U,T,0,0,0,3,1
1,work,fastener,ASNA2392-3-04,494,11,19,LINEAR,CRT,100,0,100.34,2589.70,8.51,-90.00,-85.02,0.00,2250.00,F,U,T,0,0,0,3,1
1,work,fastener,ASNA2392-3-04,493,12,20,LINEAR,CRT,100,0,86.34,2589.70,24.51,-90.00,-70.81,0.00,2250.00,F,U,T,0,0,0,3,1
1,work,fastener,EN6115V3-4,506,13,21,LINEAR,CRT,100,0,72.34,2589.70,8.51,-90.00,-78.02,0.00,2250.00,F,U,T,0,0,0,3,1
1,work,fastener,EN6115V3-4,505,14,22,LINEAR,CRT,100,0,44.34,2589.70,8.51,-90.00,-81.18,0.00,2250.00,F,U,T,0,0,0,3,1
1,work,fastener,ASNA2392-3-04,492,15,23,LINEAR,CRT,100,0,30.34,2589.70,24.51,-90.00,-74.81,0.00,2250.00,F,U,T,0,0,0,3,1
1,work,fastener,ASNA2392-3-04,491,16,24,LINEAR,CRT,100,0,16.34,2589.70,8.51,-90.00,-70.97,0.00,2250.00,F,U,T,0,0,0,3,1
